id;age;sex;education
;0;Muž;Stredná škola - výučný list
joy;fear;disgust;sadness;anger;surprise;contempt;valence;engagement;affectivaAgeGroup;affectivaGender;Timestamp;TimeReacted
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;;0
0.00182954;0.00514337;0.426019;0.0235033;0.00203813;0.196338;0.1928;0;0.303725;18-24;male;;21
0.00182954;0.00514337;0.426019;0.0235033;0.00203813;0.196338;0.1928;0;0.303725;18-24;male;;41
0.00183019;0.00507623;0.425985;0.0235219;0.00203114;0.196054;0.192731;0;0.337508;18-24;male;;60
0.00183019;0.00507623;0.425985;0.0235219;0.00203114;0.196054;0.192731;0;0.337508;18-24;male;;80
0.00183024;0.00518866;0.425975;0.023349;0.00204632;0.196533;0.192735;0;0.356809;18-24;male;;100
0.00183024;0.00518866;0.425975;0.023349;0.00204632;0.196533;0.192735;0;0.356809;18-24;male;;121
0.00183053;0.00507695;0.426022;0.023497;0.0020321;0.196122;0.192704;0;0.350611;18-24;male;;140
0.00183053;0.00507695;0.426022;0.023497;0.0020321;0.196122;0.192704;0;0.350611;18-24;male;;161
0.00183133;0.00503224;0.425963;0.0235936;0.00202494;0.196119;0.192661;0;0.348512;18-24;male;;180
0.00183133;0.00503224;0.425963;0.0235936;0.00202494;0.196119;0.192661;0;0.348512;18-24;male;;200
0.00183143;0.00502147;0.426071;0.0235036;0.00202868;0.195851;0.19264;0;0.269363;18-24;male;;221
0.00183143;0.00502147;0.426071;0.0235036;0.00202868;0.195851;0.19264;0;0.269363;18-24;male;;240
0.0018315;0.0048925;0.425872;0.0237276;0.0020113;0.195342;0.192635;0;0.249774;18-24;male;;261
0.0018315;0.0048925;0.425872;0.0237276;0.0020113;0.195342;0.192635;0;0.249774;18-24;male;;280
0.00183192;0.00489168;0.425903;0.0236853;0.00201233;0.195327;0.192612;0;0.25299;18-24;male;;300
0.00183192;0.00489168;0.425903;0.0236853;0.00201233;0.195327;0.192612;0;0.25299;18-24;male;;333
0.00183184;0.00507983;0.425741;0.023278;0.0020443;0.195815;0.192621;0;0.216287;18-24;male;;341
0.00183184;0.00507983;0.425741;0.023278;0.0020443;0.195815;0.192621;0;0.216287;18-24;male;;400
0.00183165;0.00508668;0.42561;0.0233083;0.00204344;0.195936;0.192633;0;0.201632;18-24;male;;400
0.00183165;0.00508668;0.42561;0.0233083;0.00204344;0.195936;0.192633;0;0.201632;18-24;male;;432
0.0018313;0.00506515;0.42558;0.0233756;0.0020401;0.195881;0.192638;0;0.188586;18-24;male;;441
0.0018313;0.00506515;0.42558;0.0233756;0.0020401;0.195881;0.192638;0;0.188586;18-24;male;;468
0.00183115;0.00519296;0.425371;0.0231853;0.0020582;0.196432;0.192641;0;0.181516;18-24;male;;481
0.00183115;0.00519296;0.425371;0.0231853;0.0020582;0.196432;0.192641;0;0.181516;18-24;male;;532
0.0018311;0.00517683;0.425559;0.0231534;0.00205812;0.196259;0.192655;0;0.141786;18-24;male;;532
0.0018311;0.00517683;0.425559;0.0231534;0.00205812;0.196259;0.192655;0;0.141786;18-24;male;;600
0.00183134;0.00534866;0.425775;0.022889;0.00208169;0.196916;0.192657;0;0.14684;18-24;male;;600
0.00183134;0.00534866;0.425775;0.022889;0.00208169;0.196916;0.192657;0;0.14684;18-24;male;;668
0.00183098;0.00548603;0.424996;0.0227162;0.00210299;0.19741;0.192673;0;0.143029;18-24;male;;668
0.00183098;0.00548603;0.424996;0.0227162;0.00210299;0.19741;0.192673;0;0.143029;18-24;male;;732
0.00183082;0.00558734;0.425706;0.0225552;0.00211537;0.197673;0.192705;0;0.130531;18-24;male;;732
0.00183082;0.00558734;0.425706;0.0225552;0.00211537;0.197673;0.192705;0;0.130531;18-24;male;;803
0.00183031;0.0056633;0.425892;0.0224336;0.00212568;0.197837;0.192713;0;0.123968;18-24;male;;804
0.00183031;0.0056633;0.425892;0.0224336;0.00212568;0.197837;0.192713;0;0.123968;18-24;male;;834
0.00183028;0.00550936;0.426339;0.0227067;0.00210048;0.197399;0.192705;0;0.127251;18-24;male;;844
0.00183028;0.00550936;0.426339;0.0227067;0.00210048;0.197399;0.192705;0;0.127251;18-24;male;;900
0.00183012;0.00568633;0.426467;0.0224555;0.00212361;0.197974;0.192713;0;0.122517;18-24;male;;900
0.00183012;0.00568633;0.426467;0.0224555;0.00212361;0.197974;0.192713;0;0.122517;18-24;male;;933
0.00182975;0.00610322;0.426553;0.0219016;0.00217724;0.199222;0.192738;0;0.112097;18-24;male;;934
0.00182975;0.00610322;0.426553;0.0219016;0.00217724;0.199222;0.192738;0;0.112097;18-24;male;;969
0.0018292;0.00606832;0.426618;0.0219604;0.00217323;0.199011;0.19276;0;0.110093;18-24;male;;969
0.0018292;0.00606832;0.426618;0.0219604;0.00217323;0.199011;0.19276;0;0.110093;18-24;male;;1002
0.00182853;0.00615756;0.426646;0.0218515;0.0021854;0.199179;0.19279;0;0.104487;18-24;male;;1004
0.00182853;0.00615756;0.426646;0.0218515;0.0021854;0.199179;0.19279;0;0.104487;18-24;male;;1068
0.00182697;0.0062361;0.426582;0.0218133;0.00219565;0.199333;0.19288;0;0.104174;18-24;male;;1068
0.00182697;0.0062361;0.426582;0.0218133;0.00219565;0.199333;0.19288;0;0.104174;18-24;male;;1100
0.00182698;0.00585617;0.426343;0.0222848;0.00214995;0.19816;0.192891;0;0.102229;18-24;male;;1109
0.00182698;0.00585617;0.426343;0.0222848;0.00214995;0.19816;0.192891;0;0.102229;18-24;male;;1168
0.00182706;0.00553662;0.42608;0.0227252;0.0021101;0.197106;0.192925;0;0.0959383;18-24;male;;1169
0.00182706;0.00553662;0.42608;0.0227252;0.0021101;0.197106;0.192925;0;0.0959383;18-24;male;;1200
0.00182905;0.00540914;0.4263;0.0229258;0.00208797;0.196988;0.192896;0;0.0927786;18-24;male;;1209
0.00182905;0.00540914;0.4263;0.0229258;0.00208797;0.196988;0.192896;0;0.0927786;18-24;male;;1268
0.00182962;0.00515443;0.426306;0.0233613;0.00204954;0.196301;0.192926;0;0.0913503;18-24;male;;1268
0.00182962;0.00515443;0.426306;0.0233613;0.00204954;0.196301;0.192926;0;0.0913503;18-24;male;;1332
0.00183009;0.00515532;0.426343;0.0235167;0.00204105;0.1967;0.192962;0;0.0887944;18-24;male;;1333
0.00183009;0.00515532;0.426343;0.0235167;0.00204105;0.1967;0.192962;0;0.0887944;18-24;male;;1400
0.00183058;0.00497484;0.426238;0.0240815;0.0020029;0.196672;0.192982;0;0.0881633;18-24;male;;1400
0.00183058;0.00497484;0.426238;0.0240815;0.0020029;0.196672;0.192982;0;0.0881633;18-24;male;;1468
0.00183053;0.0047963;0.426171;0.024697;0.00196464;0.196636;0.192975;0;0.0866782;18-24;male;;1468
0.00183053;0.0047963;0.426171;0.024697;0.00196464;0.196636;0.192975;0;0.0866782;18-24;male;;1536
0.00183211;0.00469983;0.426559;0.0252777;0.00193229;0.197471;0.192911;0;0.0857468;18-24;male;;1536
0.00183211;0.00469983;0.426559;0.0252777;0.00193229;0.197471;0.192911;0;0.0857468;18-24;male;;1569
0.00183231;0.00467067;0.4265;0.0253616;0.00192424;0.197611;0.192875;0;0.0865593;18-24;male;;1577
0.00183231;0.00467067;0.4265;0.0253616;0.00192424;0.197611;0.192875;0;0.0865593;18-24;male;;1601
0.00183124;0.0046763;0.426233;0.0263426;0.00188452;0.199553;0.192819;0;0.0855099;18-24;male;;1617
0.00183124;0.0046763;0.426233;0.0263426;0.00188452;0.199553;0.192819;0;0.0855099;18-24;male;;1668
0.00183147;0.00468123;0.426133;0.0263058;0.00186984;0.20034;0.192778;0;0.086197;18-24;male;;1668
0.00183147;0.00468123;0.426133;0.0263058;0.00186984;0.20034;0.192778;0;0.086197;18-24;male;;1736
0.00183181;0.00468112;0.426073;0.0261365;0.00186569;0.200644;0.192812;0;0.0902264;18-24;male;;1736
0.00183181;0.00468112;0.426073;0.0261365;0.00186569;0.200644;0.192812;0;0.0902264;18-24;male;;1769
0.00183239;0.00467068;0.426088;0.026113;0.00187675;0.200063;0.192927;0;0.0858811;18-24;male;;1777
0.00183239;0.00467068;0.426088;0.026113;0.00187675;0.200063;0.192927;0;0.0858811;18-24;male;;1802
0.00183229;0.00468276;0.425797;0.0264325;0.00187232;0.200424;0.193166;0;0.083582;18-24;male;;1817
0.00183229;0.00468276;0.425797;0.0264325;0.00187232;0.200424;0.193166;0;0.083582;18-24;male;;1868
0.0018322;0.00470255;0.425474;0.0271647;0.00185471;0.20154;0.193566;0;0.080925;18-24;male;;1868
0.0018322;0.00470255;0.425474;0.0271647;0.00185471;0.20154;0.193566;0;0.080925;18-24;male;;1936
0.00183211;0.0046753;0.425226;0.0265926;0.00187788;0.200122;0.194049;0;0.080672;18-24;male;;1936
0.00183211;0.0046753;0.425226;0.0265926;0.00187788;0.200122;0.194049;0;0.080672;18-24;male;;1970
0.00183192;0.00469472;0.42529;0.0269985;0.00186488;0.200933;0.194765;0;0.0806676;18-24;male;;1977
0.00183192;0.00469472;0.42529;0.0269985;0.00186488;0.200933;0.194765;0;0.0806676;18-24;male;;2001
0.00183222;0.00468824;0.42516;0.0269276;0.0018679;0.2008;0.195582;0;0.0802556;18-24;male;;2017
0.00183222;0.00468824;0.42516;0.0269276;0.0018679;0.2008;0.195582;0;0.0802556;18-24;male;;2070
0.00183183;0.00470895;0.425139;0.0272919;0.00185575;0.201502;0.196869;0;0.080216;18-24;male;;2070
0.00183183;0.00470895;0.425139;0.0272919;0.00185575;0.201502;0.196869;0;0.080216;18-24;male;;2101
0.00183186;0.00470673;0.424892;0.0268246;0.00187355;0.200564;0.199839;0;0.079943;18-24;male;;2101
0.00183186;0.00470673;0.424892;0.0268246;0.00187355;0.200564;0.199839;0;0.079943;18-24;male;;2168
0.00183107;0.0047458;0.424867;0.0272823;0.00185888;0.201466;0.203729;0;0.0799095;18-24;male;;2168
0.00183107;0.0047458;0.424867;0.0272823;0.00185888;0.201466;0.203729;0;0.0799095;18-24;male;;2236
0.0018309;0.00472509;0.424989;0.0266632;0.00187993;0.200047;0.2096;0;0.0800244;18-24;male;;2236
0.0018309;0.00472509;0.424989;0.0266632;0.00187993;0.200047;0.2096;0;0.0800244;18-24;male;;2269
0.0018307;0.0047163;0.424947;0.0269216;0.00186945;0.20049;0.21185;0;0.0802456;18-24;male;;2278
0.0018307;0.0047163;0.424947;0.0269216;0.00186945;0.20049;0.21185;0;0.0802456;18-24;male;;2336
0.00183046;0.00472693;0.425078;0.0274328;0.00184851;0.201569;0.257686;0;0.080613;18-24;male;;2337
0.00183046;0.00472693;0.425078;0.0274328;0.00184851;0.201569;0.257686;0;0.080613;18-24;male;;2400
0.0018306;0.00472612;0.425121;0.0273185;0.00184879;0.201599;0.26745;0;0.0814867;18-24;male;;2400
0.0018306;0.00472612;0.425121;0.0273185;0.00184879;0.201599;0.26745;0;0.0814867;18-24;male;;2468
0.00183088;0.0047719;0.425281;0.028056;0.00181596;0.203864;0.322109;0;0.0846316;18-24;male;;2468
0.00183088;0.0047719;0.425281;0.028056;0.00181596;0.203864;0.322109;0;0.0846316;18-24;male;;2536
0.00183111;0.00474935;0.425474;0.0271069;0.00184152;0.202326;0.348279;0;0.0869926;18-24;male;;2537
0.00183111;0.00474935;0.425474;0.0271069;0.00184152;0.202326;0.348279;0;0.0869926;18-24;male;;2570
0.0018318;0.00473204;0.42571;0.0264815;0.00185237;0.201562;0.375507;0;0.0909191;18-24;male;;2577
0.0018318;0.00473204;0.42571;0.0264815;0.00185237;0.201562;0.375507;0;0.0909191;18-24;male;;2601
0.00183234;0.00472764;0.425676;0.0265822;0.00185052;0.20177;0.421666;0;0.0901232;18-24;male;;2617
0.00183234;0.00472764;0.425676;0.0265822;0.00185052;0.20177;0.421666;0;0.0901232;18-24;male;;2668
0.00183293;0.00474002;0.426014;0.0274759;0.00182639;0.203154;0.416355;0;0.0866264;18-24;male;;2668
0.00183293;0.00474002;0.426014;0.0274759;0.00182639;0.203154;0.416355;0;0.0866264;18-24;male;;2736
0.00183417;0.00470421;0.426204;0.0266739;0.00185669;0.201399;0.458973;0;0.0851415;18-24;male;;2737
0.00183417;0.00470421;0.426204;0.0266739;0.00185669;0.201399;0.458973;0;0.0851415;18-24;male;;2769
0.00183459;0.0047312;0.426231;0.0273087;0.00183797;0.202692;0.46886;0;0.0839194;18-24;male;;2777
0.00183459;0.0047312;0.426231;0.0273087;0.00183797;0.202692;0.46886;0;0.0839194;18-24;male;;2801
0.00183464;0.00473085;0.426154;0.0269862;0.00184923;0.202161;0.515018;0;0.0842212;18-24;male;;2817
0.00183464;0.00473085;0.426154;0.0269862;0.00184923;0.202161;0.515018;0;0.0842212;18-24;male;;2869
0.00183466;0.00474667;0.426242;0.0266995;0.00186018;0.201826;0.548901;0;0.08441;18-24;male;;2869
0.00183466;0.00474667;0.426242;0.0266995;0.00186018;0.201826;0.548901;0;0.08441;18-24;male;;2936
0.00183444;0.00471905;0.426294;0.0256598;0.00189238;0.199961;0.668483;0;0.0866982;18-24;male;;2936
0.00183444;0.00471905;0.426294;0.0256598;0.00189238;0.199961;0.668483;0;0.0866982;18-24;male;;3005
0.00183423;0.00472346;0.426454;0.0252508;0.0018993;0.199614;0.686952;0;0.0901459;18-24;male;;3005
0.00183423;0.00472346;0.426454;0.0252508;0.0018993;0.199614;0.686952;0;0.0901459;18-24;male;;3068
0.00183379;0.00481306;0.426496;0.0254536;0.00189825;0.200535;0.821511;0;0.0895626;18-24;male;;3069
0.00183379;0.00481306;0.426496;0.0254536;0.00189825;0.200535;0.821511;0;0.0895626;18-24;male;;3104
0.00183331;0.00492798;0.426508;0.0256638;0.00191089;0.201168;0.786314;0;0.084654;18-24;male;;3110
0.00183331;0.00492798;0.426508;0.0256638;0.00191089;0.201168;0.786314;0;0.084654;18-24;male;;3136
0.00183216;0.00500585;0.426445;0.0254456;0.00192615;0.201125;0.974246;0;0.084258;18-24;male;;3149
