id;age;sex;education
;0;Muž;Stredná škola - výučný list
joy;fear;disgust;sadness;anger;surprise;contempt;valence;engagement;affectivaAgeGroup;affectivaGender;Timestamp;TimeReacted
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;;0
0.00272603;0.00767329;1.48091;0.854459;0.000402212;1.08378;0.195205;-21.9089;2.92828;35-44;male;;20
0.00272603;0.00767329;1.48091;0.854459;0.000402212;1.08378;0.195205;-21.9089;2.92828;35-44;male;;41
0.00272534;0.00867571;1.51443;1.3366;0.000306321;1.23773;0.195614;-24.213;3.06603;35-44;male;;60
0.00272534;0.00867571;1.51443;1.3366;0.000306321;1.23773;0.195614;-24.213;3.06603;35-44;male;;93
0.00278918;0.0114744;1.53859;2.76833;0.000190025;1.61917;0.196269;-26.1806;3.02859;35-44;male;;101
0.00278918;0.0114744;1.53859;2.76833;0.000190025;1.61917;0.196269;-26.1806;3.02859;35-44;male;;125
0.00268755;0.0123001;1.5029;3.28945;0.000162703;1.60021;0.197447;-25.9397;3.15763;35-44;male;;140
0.00268755;0.0123001;1.5029;3.28945;0.000162703;1.60021;0.197447;-25.9397;3.15763;35-44;male;;193
0.00271431;0.0138227;1.81781;3.81792;0.00014367;1.74736;0.198813;-24.8694;7.05695;35-44;male;;193
0.00271431;0.0138227;1.81781;3.81792;0.00014367;1.74736;0.198813;-24.8694;7.05695;35-44;male;;261
0.00284399;0.0149662;1.73151;4.02099;0.000138955;1.97117;0.200981;-24.2731;4.65013;35-44;male;;261
0.00284399;0.0149662;1.73151;4.02099;0.000138955;1.97117;0.200981;-24.2731;4.65013;35-44;male;;293
0.00303072;0.0155126;1.63892;3.22047;0.00015717;2.16142;0.203829;-21.813;2.87018;35-44;male;;302
0.00303072;0.0155126;1.63892;3.22047;0.00015717;2.16142;0.203829;-21.813;2.87018;35-44;male;;361
0.00334888;0.0175059;1.63508;3.45009;0.000154779;2.74529;0.208556;-21.5576;1.81577;35-44;male;;361
0.00334888;0.0175059;1.63508;3.45009;0.000154779;2.74529;0.208556;-21.5576;1.81577;35-44;male;;425
0.00308501;0.0180819;1.28803;3.76077;0.000134672;2.47582;0.213515;-20.0163;0.900675;35-44;male;;425
0.00308501;0.0180819;1.28803;3.76077;0.000134672;2.47582;0.213515;-20.0163;0.900675;35-44;male;;461
0.00314129;0.0179653;1.24024;3.10711;0.000150378;2.46209;0.221918;-18.2334;0.790183;35-44;male;;465
0.00314129;0.0179653;1.24024;3.10711;0.000150378;2.46209;0.221918;-18.2334;0.790183;35-44;male;;493
0.00272806;0.0186735;0.949336;4.14419;0.000112136;2.06837;0.231554;-17.9489;0.462198;35-44;male;;505
0.00272806;0.0186735;0.949336;4.14419;0.000112136;2.06837;0.231554;-17.9489;0.462198;35-44;male;;561
0.00260117;0.0186549;0.890026;3.94991;0.00011048;1.8852;0.241293;-16.97;0.394096;35-44;male;;561
0.00260117;0.0186549;0.890026;3.94991;0.00011048;1.8852;0.241293;-16.97;0.394096;35-44;male;;593
0.00252926;0.0180887;0.822275;3.35812;0.000117189;1.74559;0.254871;-16.3395;0.352357;35-44;male;;593
0.00252926;0.0180887;0.822275;3.35812;0.000117189;1.74559;0.254871;-16.3395;0.352357;35-44;male;;626
0.00241759;0.0184504;0.759016;3.82448;0.000111792;1.68331;0.264678;-16.8717;0.293559;35-44;male;;626
0.00241759;0.0184504;0.759016;3.82448;0.000111792;1.68331;0.264678;-16.8717;0.293559;35-44;male;;693
0.00238742;0.0185656;0.691824;3.6127;0.000112205;1.65969;0.30704;-17.5203;0.2862;35-44;male;;693
0.00238742;0.0185656;0.691824;3.6127;0.000112205;1.65969;0.30704;-17.5203;0.2862;35-44;male;;761
0.00246762;0.0187188;0.699455;3.38339;0.000110231;1.76065;0.378051;-18.0511;0.330409;35-44;male;;761
0.00246762;0.0187188;0.699455;3.38339;0.000110231;1.76065;0.378051;-18.0511;0.330409;35-44;male;;793
0.00248502;0.0179153;0.698969;3.03763;0.000117485;1.73285;0.391769;-15.8471;0.35237;35-44;male;;802
