id;age;sex;education
;0;Muž;Stredná škola - výučný list
joy;fear;disgust;sadness;anger;surprise;contempt;valence;engagement;affectivaAgeGroup;affectivaGender;Timestamp;TimeReacted
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;;1
0.00247516;0.00157759;0.390183;0.37096;0.0011246;0.28529;0.172941;-50.9709;16.9333;18-24;male;;21
0.00247516;0.00157759;0.390183;0.37096;0.0011246;0.28529;0.172941;-50.9709;16.9333;18-24;male;;40
0.00239264;0.0016508;0.391934;0.407713;0.00111182;0.283408;0.175253;-52.165;17.8613;18-24;male;;61
0.00239264;0.0016508;0.391934;0.407713;0.00111182;0.283408;0.175253;-52.165;17.8613;18-24;male;;81
0.00236799;0.00163542;0.389966;0.493236;0.00103288;0.289299;0.174861;-54.06;19.4728;18-24;male;;101
0.00236799;0.00163542;0.389966;0.493236;0.00103288;0.289299;0.174861;-54.06;19.4728;18-24;male;;126
0.00231466;0.00148972;0.399259;0.515332;0.00103226;0.290244;0.177144;-55.6333;21.5533;18-24;male;;141
0.00231466;0.00148972;0.399259;0.515332;0.00103226;0.290244;0.177144;-55.6333;21.5533;18-24;male;;161
0.00237278;0.00145937;0.399312;0.51568;0.000991409;0.299145;0.175536;-54.6251;19.9204;18-24;male;;181
0.00237278;0.00145937;0.399312;0.51568;0.000991409;0.299145;0.175536;-54.6251;19.9204;18-24;male;;226
0.00233749;0.00134008;0.404937;0.63502;0.000958405;0.310171;0.176831;-59.3824;26.5852;18-24;male;;226
0.00233749;0.00134008;0.404937;0.63502;0.000958405;0.310171;0.176831;-59.3824;26.5852;18-24;male;;290
0.00224887;0.00125595;0.409764;0.944911;0.000877699;0.327549;0.179294;-66.4162;37.6637;18-24;male;;290
0.00224887;0.00125595;0.409764;0.944911;0.000877699;0.327549;0.179294;-66.4162;37.6637;18-24;male;;357
0.00225907;0.00135315;0.405604;1.31163;0.000739583;0.353619;0.178864;-67.917;37.4848;18-24;male;;358
0.00225907;0.00135315;0.405604;1.31163;0.000739583;0.353619;0.178864;-67.917;37.4848;18-24;male;;425
0.00221057;0.00149572;0.405147;2.4737;0.00055983;0.417071;0.180086;-72.8419;41.5016;18-24;male;;426
0.00221057;0.00149572;0.405147;2.4737;0.00055983;0.417071;0.180086;-72.8419;41.5016;18-24;male;;490
0.00222923;0.00173781;0.403989;5.52274;0.000373869;0.537035;0.179118;-78.1265;44.1429;18-24;male;;490
0.00222923;0.00173781;0.403989;5.52274;0.000373869;0.537035;0.179118;-78.1265;44.1429;18-24;male;;557
0.00217958;0.00165656;0.410082;4.85417;0.00041062;0.514566;0.181563;-78.3075;46.0014;18-24;male;;558
0.00217958;0.00165656;0.410082;4.85417;0.00041062;0.514566;0.181563;-78.3075;46.0014;18-24;male;;626
0.00218094;0.00194099;0.404123;9.25088;0.000291655;0.622266;0.180417;-81.7888;46.1735;18-24;male;;626
0.00218094;0.00194099;0.404123;9.25088;0.000291655;0.622266;0.180417;-81.7888;46.1735;18-24;male;;689
0.00225857;0.00211012;0.396221;12.1905;0.000244551;0.674624;0.177355;-83.0445;45.9069;18-24;male;;690
0.00225857;0.00211012;0.396221;12.1905;0.000244551;0.674624;0.177355;-83.0445;45.9069;18-24;male;;726
0.00226294;0.00180761;0.394179;6.88575;0.000335567;0.550856;0.177636;-79.8574;46.2242;18-24;male;;731
0.00226294;0.00180761;0.394179;6.88575;0.000335567;0.550856;0.177636;-79.8574;46.2242;18-24;male;;759
0.00236652;0.00164819;0.386268;4.83586;0.000394152;0.488999;0.174117;-77.6759;46.229;18-24;male;;770
