Name,Sex,Age,,,,,,,,,,,,,,,
joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,GSR,HR,Temperature,SAM – Valence,SAM – Arousal,Psychologist valence,Videos,Timestamp,TimeReacted
