id;age;sex;education
;0;Muž;Stredná škola - výučný list
joy;fear;disgust;sadness;anger;surprise;contempt;valence;engagement;affectivaAgeGroup;affectivaGender;Timestamp;TimeReacted
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;;0
0.770821;0.00204177;0.0375299;1.48957;6.29692e-06;1.41117;0.0123991;2.14586;13.3708;55-64;unknown;;21
0.770821;0.00204177;0.0375299;1.48957;6.29692e-06;1.41117;0.0123991;2.14586;13.3708;55-64;unknown;;41
0.197435;0.0035697;0.0649072;2.63829;1.08485e-05;1.41585;0.0228186;0;4.47389;55-64;unknown;;61
0.197435;0.0035697;0.0649072;2.63829;1.08485e-05;1.41585;0.0228186;0;4.47389;55-64;unknown;;80
0.0541979;0.00603535;0.109018;4.45413;1.8331e-05;1.42128;0.0410967;0;1.4895;55-64;unknown;;103
0.0541979;0.00603535;0.109018;4.45413;1.8331e-05;1.42128;0.0410967;0;1.4895;55-64;unknown;;121
0.0274945;0.00784838;0.139305;5.82845;2.50805e-05;1.43503;0.0561568;-2.13715;0.824457;55-64;unknown;;141
0.0274945;0.00784838;0.139305;5.82845;2.50805e-05;1.43503;0.0561568;-2.13715;0.824457;55-64;unknown;;163
0.0179501;0.00907808;0.109811;6.0865;4.73339e-05;1.48654;0.0690378;-10.3369;0.557114;55-64;unknown;;180
0.0179501;0.00907808;0.109811;6.0865;4.73339e-05;1.48654;0.0690378;-10.3369;0.557114;55-64;unknown;;227
0.0133374;0.00993082;0.0638939;5.66444;0.000107918;1.5202;0.0797382;-19.2183;0.443788;55-64;unknown;;228
0.0133374;0.00993082;0.0638939;5.66444;0.000107918;1.5202;0.0797382;-19.2183;0.443788;55-64;unknown;;295
0.0118898;0.00948359;0.0387841;5.55345;0.00020245;1.55248;0.0847686;-28.7944;1.00548;55-64;unknown;;296
0.0118898;0.00948359;0.0387841;5.55345;0.00020245;1.55248;0.0847686;-28.7944;1.00548;55-64;unknown;;328
0.0128357;0.00792318;0.0202776;5.57559;0.000355783;1.51519;0.0813448;-39.0145;2.34555;55-64;unknown;;336
0.0128357;0.00792318;0.0202776;5.57559;0.000355783;1.51519;0.0813448;-39.0145;2.34555;55-64;unknown;;395
0.0112135;0.00751485;0.0343793;8.14171;0.000222507;1.46987;0.0858905;-41.0178;1.13742;55-64;unknown;;395
0.0112135;0.00751485;0.0343793;8.14171;0.000222507;1.46987;0.0858905;-41.0178;1.13742;55-64;unknown;;463
0.0117283;0.00562588;0.100374;16.0379;7.10292e-05;1.45466;0.0842031;-45.8647;1.60193;55-64;unknown;;464
0.0117283;0.00562588;0.100374;16.0379;7.10292e-05;1.45466;0.0842031;-45.8647;1.60193;55-64;unknown;;496
0.0110478;0.00421211;0.123673;25.1874;5.94492e-05;1.44047;0.086854;-59.8092;5.79353;55-64;unknown;;505
0.0110478;0.00421211;0.123673;25.1874;5.94492e-05;1.44047;0.086854;-59.8092;5.79353;55-64;unknown;;532
0.00867743;0.00343684;0.15581;38.0907;5.66984e-05;1.43234;0.0975868;-74.9425;18.1785;55-64;unknown;;544
0.00867743;0.00343684;0.15581;38.0907;5.66984e-05;1.43234;0.0975868;-74.9425;18.1785;55-64;unknown;;564
0.0060415;0.00368715;0.203984;45.5685;5.751e-05;1.42649;0.116377;-80.1697;23.4211;55-64;unknown;;585
0.0060415;0.00368715;0.203984;45.5685;5.751e-05;1.42649;0.116377;-80.1697;23.4211;55-64;unknown;;632
0.0042644;0.00381733;0.273134;54.464;5.62436e-05;1.42113;0.139827;-86.4482;32.2075;55-64;unknown;;632
0.0042644;0.00381733;0.273134;54.464;5.62436e-05;1.42113;0.139827;-86.4482;32.2075;55-64;unknown;;664
0.00384064;0.00449223;0.305513;51.6838;5.44461e-05;1.41862;0.15748;-80.8242;22.0383;55-64;unknown;;664
0.00384064;0.00449223;0.305513;51.6838;5.44461e-05;1.41862;0.15748;-80.8242;22.0383;55-64;unknown;;731
0.00361163;0.00492122;0.321671;50.0775;5.42495e-05;1.4176;0.171307;-77.8587;17.5366;55-64;unknown;;732
0.00361163;0.00492122;0.321671;50.0775;5.42495e-05;1.4176;0.171307;-77.8587;17.5366;55-64;unknown;;795
0.00320314;0.00527947;0.340162;50.5721;5.65022e-05;1.41745;0.194318;-77.6301;16.2593;55-64;unknown;;795
0.00320314;0.00527947;0.340162;50.5721;5.65022e-05;1.41745;0.194318;-77.6301;16.2593;55-64;unknown;;863
0.00328883;0.00583265;0.338034;46.4212;5.58246e-05;1.41781;0.23896;-72.4837;11.1278;55-64;unknown;;863
0.00328883;0.00583265;0.338034;46.4212;5.58246e-05;1.41781;0.23896;-72.4837;11.1278;55-64;unknown;;931
0.00329222;0.00764157;0.338326;36.9236;5.60103e-05;1.41951;0.28961;-60.0564;3.97998;55-64;unknown;;931
0.00329222;0.00764157;0.338326;36.9236;5.60103e-05;1.41951;0.28961;-60.0564;3.97998;55-64;unknown;;995
0.00333367;0.00903185;0.336562;31.0404;5.56816e-05;1.41837;0.302652;-51.6607;1.93995;55-64;unknown;;995
0.00333367;0.00903185;0.336562;31.0404;5.56816e-05;1.41837;0.302652;-51.6607;1.93995;55-64;unknown;;1063
0.00460222;0.0108211;0.29616;19.8554;4.88272e-05;1.41764;0.344325;-34.4459;0.521081;55-64;unknown;;1063
0.00460222;0.0108211;0.29616;19.8554;4.88272e-05;1.41764;0.344325;-34.4459;0.521081;55-64;unknown;;1131
0.00516532;0.0115155;0.283093;16.7213;4.66031e-05;1.41775;0.36693;-28.4379;0.328812;55-64;unknown;;1132
0.00516532;0.0115155;0.283093;16.7213;4.66031e-05;1.41775;0.36693;-28.4379;0.328812;55-64;unknown;;1196
0.00492439;0.0134462;0.288693;14.2609;4.74713e-05;1.41721;0.443826;-22.0973;0.186635;55-64;unknown;;1196
0.00492439;0.0134462;0.288693;14.2609;4.74713e-05;1.41721;0.443826;-22.0973;0.186635;55-64;unknown;;1231
0.004404;0.0141863;0.301949;14.6168;4.96092e-05;1.41751;0.457826;-22.3106;0.172533;55-64;unknown;;1237
0.004404;0.0141863;0.301949;14.6168;4.96092e-05;1.41751;0.457826;-22.3106;0.172533;55-64;unknown;;1263
0.00399827;0.015108;0.313865;14.6696;5.15888e-05;1.4177;0.426155;-21.863;0.155942;55-64;unknown;;1276
0.00399827;0.015108;0.313865;14.6696;5.15888e-05;1.4177;0.426155;-21.863;0.155942;55-64;unknown;;1331
0.00335413;0.0169016;0.336888;14.804;5.54302e-05;1.4192;0.454857;-21.1783;0.133432;55-64;unknown;;1331
0.00335413;0.0169016;0.336888;14.804;5.54302e-05;1.4192;0.454857;-21.1783;0.133432;55-64;unknown;;1363
0.00269662;0.0187304;0.367645;15.6368;6.05631e-05;1.41993;0.629896;-21.9412;0.122522;55-64;unknown;;1364
0.00269662;0.0187304;0.367645;15.6368;6.05631e-05;1.41993;0.629896;-21.9412;0.122522;55-64;unknown;;1395
0.00249256;0.0191486;0.379279;16.1543;6.24224e-05;1.42002;0.631341;-22.6493;0.124193;55-64;unknown;;1397
0.00249256;0.0191486;0.379279;16.1543;6.24224e-05;1.42002;0.631341;-22.6493;0.124193;55-64;unknown;;1463
0.00216542;0.0208838;0.399942;16.2186;6.60082e-05;1.41872;0.792797;-21.8297;0.105864;55-64;unknown;;1463
0.00216542;0.0208838;0.399942;16.2186;6.60082e-05;1.41872;0.792797;-21.8297;0.105864;55-64;unknown;;1535
0.00204144;0.0213618;0.408773;16.4928;6.7608e-05;1.4192;0.684176;-22.081;0.104433;55-64;male;;1536
0.00204144;0.0213618;0.408773;16.4928;6.7608e-05;1.4192;0.684176;-22.081;0.104433;55-64;male;;1565
0.00192257;0.0221875;0.418201;16.3919;6.94354e-05;1.42216;0.699616;-21.5644;0.0962536;55-64;male;;1576
0.00192257;0.0221875;0.418201;16.3919;6.94354e-05;1.42216;0.699616;-21.5644;0.0962536;55-64;male;;1631
0.00189832;0.0223212;0.420247;16.3141;7.00951e-05;1.42037;0.539723;-21.5185;0.0954232;55-64;male;;1631
