id;age;sex;education
;0;Muž;Stredná škola - výučný list
joy;fear;disgust;sadness;anger;surprise;contempt;valence;engagement;affectivaAgeGroup;affectivaGender;Timestamp;TimeReacted
0.00507618;0.0119892;1.92537;0.26898;0.000895659;2.91365;0.202501;-10.1337;4.3721;35-44;male;;72623
0.00507618;0.0119892;1.92537;0.26898;0.000895659;2.91365;0.202501;-10.1337;4.3721;35-44;male;;72623
0.00563575;0.0125244;2.10924;0.255353;0.000965955;3.55231;0.205302;-11.5234;6.53485;35-44;male;;72692
0.00563575;0.0125244;2.10924;0.255353;0.000965955;3.55231;0.205302;-11.5234;6.53485;35-44;male;;72692
0.00609803;0.013197;2.17282;0.270997;0.000998428;4.14099;0.212082;-12.411;8.73515;35-44;male;;72725
0.00609803;0.013197;2.17282;0.270997;0.000998428;4.14099;0.212082;-12.411;8.73515;35-44;male;;72725
0.00557231;0.0140574;1.86639;0.407368;0.000731051;3.88778;0.21627;-13.2269;6.22259;35-44;male;;72763
0.00557231;0.0140574;1.86639;0.407368;0.000731051;3.88778;0.21627;-13.2269;6.22259;35-44;male;;72763
0.00448749;0.0150654;1.39588;0.738619;0.00043473;3.04986;0.223962;-13.4267;2.73161;35-44;male;;72790
0.00448749;0.0150654;1.39588;0.738619;0.00043473;3.04986;0.223962;-13.4267;2.73161;35-44;male;;72790
0.00446984;0.016816;1.3212;1.12297;0.000335857;3.36602;0.235188;-14.763;2.65828;35-44;male;;72853
0.00446984;0.016816;1.3212;1.12297;0.000335857;3.36602;0.235188;-14.763;2.65828;35-44;male;;72853
0.00446508;0.0175442;1.26768;1.20954;0.000316731;3.43587;0.275298;-15.1097;2.65647;35-44;male;;72921
0.00446508;0.0175442;1.26768;1.20954;0.000316731;3.43587;0.275298;-15.1097;2.65647;35-44;male;;72921
0.00430138;0.0186781;1.16093;1.46383;0.000261701;3.43605;0.312741;-17.4693;2.29847;35-44;male;;72989
0.00430138;0.0186781;1.16093;1.46383;0.000261701;3.43605;0.312741;-17.4693;2.29847;35-44;male;;72989
0.00417595;0.018984;1.09083;1.47522;0.000242588;3.31535;0.331173;-19.23;2.04183;35-44;male;;73021
0.00417595;0.018984;1.09083;1.47522;0.000242588;3.31535;0.331173;-19.23;2.04183;35-44;male;;73021
0.00407849;0.0193419;1.01852;1.69463;0.000221233;3.24776;0.355281;-18.7811;1.8293;35-44;male;;73089
0.00407849;0.0193419;1.01852;1.69463;0.000221233;3.24776;0.355281;-18.7811;1.8293;35-44;male;;73089
0.00373795;0.019684;0.906996;2.31068;0.000178651;2.92603;0.425346;-17.2404;1.27389;35-44;male;;73124
0.00373795;0.019684;0.906996;2.31068;0.000178651;2.92603;0.425346;-17.2404;1.27389;35-44;male;;73124
0.0035404;0.0203429;0.83813;3.0536;0.000146408;2.80953;0.524631;-17.1612;1.00599;35-44;male;;73189
0.0035404;0.0203429;0.83813;3.0536;0.000146408;2.80953;0.524631;-17.1612;1.00599;35-44;male;;73189
0.00325313;0.0207461;0.756544;3.90868;0.000117724;2.55163;0.50537;-17.4908;0.710372;35-44;male;;73222
0.00325313;0.0207461;0.756544;3.90868;0.000117724;2.55163;0.50537;-17.4908;0.710372;35-44;male;;73222
0.0030783;0.0210923;0.7116;4.68969;0.000101058;2.41616;0.493598;-17.9208;0.569535;35-44;male;;73254
0.0030783;0.0210923;0.7116;4.68969;0.000101058;2.41616;0.493598;-17.9208;0.569535;35-44;male;;73254
0.00374779;0.0214924;0.858916;3.552;0.000137963;3.2119;0.600648;-18.2119;1.21748;35-44;male;;73321
0.00374779;0.0214924;0.858916;3.552;0.000137963;3.2119;0.600648;-18.2119;1.21748;35-44;male;;73321
0.00318566;0.0215464;0.73231;4.63115;0.000104405;2.60129;0.677278;-18.1063;0.662989;35-44;male;;73389
0.00318566;0.0215464;0.73231;4.63115;0.000104405;2.60129;0.677278;-18.1063;0.662989;35-44;male;;73390
0.00312026;0.0208717;0.710191;4.27414;0.000107717;2.42825;0.690541;-17.3822;0.60353;35-44;male;;73421
0.00312026;0.0208717;0.710191;4.27414;0.000107717;2.42825;0.690541;-17.3822;0.60353;35-44;male;;73421
0.00272878;0.0190577;0.619464;3.78246;0.000108429;1.82242;0.536341;-15.4559;0.356057;35-44;male;;73490
0.00272878;0.0190577;0.619464;3.78246;0.000108429;1.82242;0.536341;-15.4559;0.356057;35-44;male;;73490
0.00243046;0.0175388;0.547859;3.3606;0.00012816;1.40352;0.396752;-13.6049;0.222747;35-44;male;;73522
0.00243046;0.0175388;0.547859;3.3606;0.00012816;1.40352;0.396752;-13.6049;0.222747;35-44;male;;73522
0.00239776;0.0151587;0.539615;1.93579;0.000172266;1.15609;0.321336;-10.4973;0.210997;35-44;male;;73589
0.00239776;0.0151587;0.539615;1.93579;0.000172266;1.15609;0.321336;-10.4973;0.210997;35-44;male;;73590
0.00266722;0.0124177;0.595152;0.735322;0.000290777;1.04924;0.289457;-6.30466;0.313621;35-44;male;;73621
0.00266722;0.0124177;0.595152;0.735322;0.000290777;1.04924;0.289457;-6.30466;0.313621;35-44;male;;73621
0.00329679;0.00959932;0.734416;0.178427;0.00081599;1.03086;0.270356;-0.966156;0.717002;35-44;male;;73689
0.00329679;0.00959932;0.734416;0.178427;0.00081599;1.03086;0.270356;-0.966156;0.717002;35-44;male;;73689
0.00422951;0.00744116;0.937218;0.0409757;0.00242322;1.06475;0.246998;0;1.86676;35-44;male;;73722
0.00422951;0.00744116;0.937218;0.0409757;0.00242322;1.06475;0.246998;0;1.86676;35-44;male;;73722
0.00534203;0.00599364;1.18438;0.0111513;0.00642792;1.13256;0.225696;0;4.56818;35-44;male;;73754
0.00534203;0.00599364;1.18438;0.0111513;0.00642792;1.13256;0.225696;0;4.56818;35-44;male;;73754
0.00596654;0.00520234;1.33194;0.00504537;0.0114674;1.11811;0.212184;0;7.03559;35-44;male;;73821
0.00596654;0.00520234;1.33194;0.00504537;0.0114674;1.11811;0.212184;0;7.03559;35-44;male;;73821
0.00718957;0.00473564;1.6113;0.00240648;0.0208215;1.29219;0.202997;0;13.8214;35-44;male;;73890
0.00718957;0.00473564;1.6113;0.00240648;0.0208215;1.29219;0.202997;0;13.8214;35-44;male;;73890
0.0065822;0.00470034;1.4814;0.00272683;0.0181668;1.13825;0.200362;0;10.2477;35-44;male;;73922
0.0065822;0.00470034;1.4814;0.00272683;0.0181668;1.13825;0.200362;0;10.2477;35-44;male;;73922
0.00738309;0.0046724;1.66771;0.00206726;0.0234294;1.31642;0.195693;0;15.3697;35-44;male;;73989
0.00738309;0.0046724;1.66771;0.00206726;0.0234294;1.31642;0.195693;0;15.3697;35-44;male;;73989
0.0077153;0.00469869;1.74733;0.00183003;0.0260603;1.39121;0.194536;0;17.8793;35-44;male;;74057
0.0077153;0.00469869;1.74733;0.00183003;0.0260603;1.39121;0.194536;0;17.8793;35-44;male;;74058
0.00703565;0.00464947;1.60073;0.00213141;0.0223176;1.2264;0.193751;0;13.248;35-44;male;;74089
0.00703565;0.00464947;1.60073;0.00213141;0.0223176;1.2264;0.193751;0;13.248;35-44;male;;74089
0.00554017;0.0046749;1.26728;0.00324809;0.0145451;0.886736;0.193221;0;5.66179;35-44;male;;74158
0.00554017;0.0046749;1.26728;0.00324809;0.0145451;0.886736;0.193221;0;5.66179;35-44;male;;74158
0.00371152;0.00464639;0.853871;0.00669975;0.00703837;0.512446;0.192804;0;1.23348;35-44;male;;74190
0.00371152;0.00464639;0.853871;0.00669975;0.00703837;0.512446;0.192804;0;1.23348;35-44;male;;74190
0.00277905;0.00462374;0.641597;0.0113276;0.00416231;0.344786;0.192681;0;0.400521;35-44;male;;74257
0.00277905;0.00462374;0.641597;0.0113276;0.00416231;0.344786;0.192681;0;0.400521;35-44;male;;74257
