id;age;sex;education
;0;Muž;Stredná škola - výučný list
joy;fear;disgust;sadness;anger;surprise;contempt;valence;engagement;affectivaAgeGroup;affectivaGender;Timestamp;TimeReacted
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;;0
99.3835;1.09649e-06;0.0927746;8.0298e-05;2.25528e-05;31.6538;0.000293084;81.4673;99.4732;35-44;male;;21
99.3835;1.09649e-06;0.0927746;8.0298e-05;2.25528e-05;31.6538;0.000293084;81.4673;99.4732;35-44;male;;40
99.455;9.41609e-07;0.102167;4.637e-05;2.87987e-05;28.6915;0.000276371;84.2304;99.5265;35-44;male;;61
99.455;9.41609e-07;0.102167;4.637e-05;2.87987e-05;28.6915;0.000276371;84.2304;99.5265;35-44;male;;80
99.4721;8.12749e-07;0.100081;2.50939e-05;4.08163e-05;25.2417;0.000271734;87.4913;99.5396;35-44;male;;100
99.4721;8.12749e-07;0.100081;2.50939e-05;4.08163e-05;25.2417;0.000271734;87.4913;99.5396;35-44;male;;120
99.5865;6.29337e-07;0.0916426;1.15713e-05;5.56738e-05;21.713;0.000242346;91.1998;99.6276;35-44;male;;140
99.5865;6.29337e-07;0.0916426;1.15713e-05;5.56738e-05;21.713;0.000242346;91.1998;99.6276;35-44;male;;160
99.6355;5.43118e-07;0.0796205;7.04775e-06;6.87189e-05;19.5903;0.000228527;93.7121;99.6665;35-44;male;;181
99.6355;5.43118e-07;0.0796205;7.04775e-06;6.87189e-05;19.5903;0.000228527;93.7121;99.6665;35-44;male;;200
99.7212;4.54169e-07;0.0667385;4.60437e-06;7.42695e-05;18.181;0.000201999;95.5043;99.7359;35-44;male;;221
99.7212;4.54169e-07;0.0667385;4.60437e-06;7.42695e-05;18.181;0.000201999;95.5043;99.7359;35-44;male;;249
99.7657;3.88346e-07;0.059504;2.91262e-06;8.71666e-05;16.5329;0.00018648;97.5238;99.7731;35-44;male;;260
99.7657;3.88346e-07;0.059504;2.91262e-06;8.71666e-05;16.5329;0.00018648;97.5238;99.7731;35-44;male;;281
99.8232;3.34137e-07;0.0460852;2.18238e-06;8.60263e-05;15.8561;0.000163875;98.4201;99.8223;35-44;male;;300
99.8232;3.34137e-07;0.0460852;2.18238e-06;8.60263e-05;15.8561;0.000163875;98.4201;99.8223;35-44;male;;348
99.8599;2.97392e-07;0.0330442;1.69112e-06;8.59696e-05;15.2511;0.000147317;99.2358;99.8549;35-44;male;;368
99.8599;2.97392e-07;0.0330442;1.69112e-06;8.59696e-05;15.2511;0.000147317;99.2358;99.8549;35-44;male;;388
99.8632;2.96478e-07;0.0303574;1.68392e-06;8.4695e-05;15.2677;0.000145696;99.2375;99.8579;35-44;male;;409
99.8632;2.96478e-07;0.0303574;1.68392e-06;8.4695e-05;15.2677;0.000145696;99.2375;99.8579;35-44;male;;429
99.875;2.83187e-07;0.0271195;1.51243e-06;8.48118e-05;14.9606;0.000139742;99.607;99.8688;35-44;male;;449
99.875;2.83187e-07;0.0271195;1.51243e-06;8.48118e-05;14.9606;0.000139742;99.607;99.8688;35-44;male;;469
