id;age;sex;education
;0;Muž;Stredná škola - výučný list
joy;fear;disgust;sadness;anger;surprise;contempt;valence;engagement;affectivaAgeGroup;affectivaGender;Timestamp;TimeReacted
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;;1
5.57648e-05;0.0279076;1.98343;1.36338;0.17711;0.00822149;0.526069;-14.5785;3.97739;18-24;male;;20
5.57648e-05;0.0279076;1.98343;1.36338;0.17711;0.00822149;0.526069;-14.5785;3.97739;18-24;male;;40
3.54174e-05;0.0357342;0.855163;2.23965;0.313064;0.00542445;0.598298;-11.0536;6.27112;18-24;male;;61
3.54174e-05;0.0357342;0.855163;2.23965;0.313064;0.00542445;0.598298;-11.0536;6.27112;18-24;male;;81
2.58627e-05;0.0420748;1.02531;3.10673;0.494656;0.0040861;0.657521;-13.9061;9.30904;18-24;male;;100
2.58627e-05;0.0420748;1.02531;3.10673;0.494656;0.0040861;0.657521;-13.9061;9.30904;18-24;male;;121
3.24244e-05;0.0368797;0.65891;2.41613;0.380777;0.00504098;0.617956;-9.74481;7.70942;18-24;male;;141
3.24244e-05;0.0368797;0.65891;2.41613;0.380777;0.00504098;0.617956;-9.74481;7.70942;18-24;male;;161
2.63662e-05;0.0408472;0.616678;3.0236;0.50876;0.004183;0.657114;-10.3284;9.86246;18-24;male;;180
2.63662e-05;0.0408472;0.616678;3.0236;0.50876;0.004183;0.657114;-10.3284;9.86246;18-24;male;;200
2.92418e-05;0.0386587;0.547715;2.69948;0.4506;0.00461474;0.638796;-8.97394;9.07141;18-24;male;;220
2.92418e-05;0.0386587;0.547715;2.69948;0.4506;0.00461474;0.638796;-8.97394;9.07141;18-24;male;;241
2.22545e-05;0.0450498;0.619029;3.5495;0.708559;0.00364231;0.696995;-11.1566;13.706;18-24;male;;260
2.22545e-05;0.0450498;0.619029;3.5495;0.708559;0.00364231;0.696995;-11.1566;13.706;18-24;male;;280
1.96608e-05;0.0477327;0.514323;4.09913;0.817075;0.00325363;0.721295;-10.5518;15.1504;18-24;male;;301
1.96608e-05;0.0477327;0.514323;4.09913;0.817075;0.00325363;0.721295;-10.5518;15.1504;18-24;male;;336
2.12727e-05;0.0464067;0.546587;3.72551;0.791131;0.00354018;0.709972;-10.5527;15.5399;18-24;male;;341
2.12727e-05;0.0464067;0.546587;3.72551;0.791131;0.00354018;0.709972;-10.5527;15.5399;18-24;male;;368
2.75481e-05;0.0404413;0.522183;2.80983;0.557302;0.00447751;0.658208;-8.9101;11.785;18-24;male;;380
2.75481e-05;0.0404413;0.522183;2.80983;0.557302;0.00447751;0.658208;-8.9101;11.785;18-24;male;;436
3.31453e-05;0.0371413;0.530974;2.26664;0.463071;0.0053588;0.627435;-8.04404;10.6113;18-24;male;;436
3.31453e-05;0.0371413;0.530974;2.26664;0.463071;0.0053588;0.627435;-8.04404;10.6113;18-24;male;;468
4.12549e-05;0.0329715;0.501009;1.7994;0.336352;0.00653999;0.5875;-6.54694;8.08239;18-24;male;;469
4.12549e-05;0.0329715;0.501009;1.7994;0.336352;0.00653999;0.5875;-6.54694;8.08239;18-24;male;;536
5.12192e-05;0.0292988;0.483643;1.42576;0.247618;0.00795323;0.550909;-5.20521;6.21078;18-24;male;;536
5.12192e-05;0.0292988;0.483643;1.42576;0.247618;0.00795323;0.550909;-5.20521;6.21078;18-24;male;;568
6.68522e-05;0.0258346;0.492947;1.04491;0.186877;0.0102468;0.513411;-3.92967;5.16654;18-24;male;;576
6.68522e-05;0.0258346;0.492947;1.04491;0.186877;0.0102468;0.513411;-3.92967;5.16654;18-24;male;;636
6.79912e-05;0.0254761;0.486296;1.0429;0.17429;0.0103935;0.508952;-3.80953;4.75461;18-24;male;;636
6.79912e-05;0.0254761;0.486296;1.0429;0.17429;0.0103935;0.508952;-3.80953;4.75461;18-24;male;;669
7.59241e-05;0.0239198;0.483795;0.93015;0.146925;0.0114933;0.491957;-3.22227;4.06248;18-24;male;;669
7.59241e-05;0.0239198;0.483795;0.93015;0.146925;0.0114933;0.491957;-3.22227;4.06248;18-24;male;;736
6.2922e-05;0.0264813;0.494004;1.16289;0.186504;0.00975851;0.519448;-4.41705;5.00951;18-24;male;;736
6.2922e-05;0.0264813;0.494004;1.16289;0.186504;0.00975851;0.519448;-4.41705;5.00951;18-24;male;;768
6.19629e-05;0.0262919;0.478292;1.21366;0.174715;0.00957558;0.517961;-4.3605;4.50639;18-24;male;;776
6.19629e-05;0.0262919;0.478292;1.21366;0.174715;0.00957558;0.517961;-4.3605;4.50639;18-24;male;;842
6.69745e-05;0.0252653;0.494737;1.11138;0.160437;0.0103178;0.507327;-4.18144;4.25604;18-24;male;;843
6.69745e-05;0.0252653;0.494737;1.11138;0.160437;0.0103178;0.507327;-4.18144;4.25604;18-24;male;;870
8.80293e-05;0.0219854;0.501435;0.848855;0.107184;0.0133626;0.467804;-3.02976;3.02663;18-24;male;;883
8.80293e-05;0.0219854;0.501435;0.848855;0.107184;0.0133626;0.467804;-3.02976;3.02663;18-24;male;;936
6.50212e-05;0.0255406;0.493174;1.18712;0.154248;0.0100396;0.508634;-4.46393;3.97896;18-24;male;;936
6.50212e-05;0.0255406;0.493174;1.18712;0.154248;0.0100396;0.508634;-4.46393;3.97896;18-24;male;;968
5.16157e-05;0.0286128;0.486079;1.53574;0.201673;0.00804649;0.541696;-5.58614;4.82715;18-24;male;;968
5.16157e-05;0.0286128;0.486079;1.53574;0.201673;0.00804649;0.541696;-5.58614;4.82715;18-24;male;;1039
6.60282e-05;0.0258234;0.513513;1.18342;0.146577;0.010128;0.505342;-4.75957;3.77929;18-24;male;;1039
6.60282e-05;0.0258234;0.513513;1.18342;0.146577;0.010128;0.505342;-4.75957;3.77929;18-24;male;;1104
4.95767e-05;0.0298339;0.48866;1.63116;0.202418;0.00767357;0.545861;-5.89784;4.72418;18-24;male;;1104
4.95767e-05;0.0298339;0.48866;1.63116;0.202418;0.00767357;0.545861;-5.89784;4.72418;18-24;male;;1136
5.06847e-05;0.0293122;0.474753;1.574;0.196449;0.00775045;0.541817;-5.48817;4.53091;18-24;male;;1144
5.06847e-05;0.0293122;0.474753;1.574;0.196449;0.00775045;0.541817;-5.48817;4.53091;18-24;male;;1204
3.31847e-05;0.0363247;0.473201;2.55703;0.328735;0.00522552;0.610072;-7.67715;6.78212;18-24;male;;1204
3.31847e-05;0.0363247;0.473201;2.55703;0.328735;0.00522552;0.610072;-7.67715;6.78212;18-24;male;;1236
2.98471e-05;0.0378493;0.49195;2.79824;0.384129;0.0046903;0.628865;-8.32103;7.57105;18-24;male;;1245
2.98471e-05;0.0378493;0.49195;2.79824;0.384129;0.0046903;0.628865;-8.32103;7.57105;18-24;male;;1269
2.43038e-05;0.042332;0.494765;3.57796;0.495958;0.00391369;0.667224;-9.54641;9.40648;18-24;male;;1285
2.43038e-05;0.042332;0.494765;3.57796;0.495958;0.00391369;0.667224;-9.54641;9.40648;18-24;male;;1336
2.35521e-05;0.0429376;0.475814;3.68556;0.513493;0.00377938;0.672548;-9.40979;9.55588;18-24;male;;1336
