id;age;sex;education
;0;Muž;Stredná škola - výučný list
joy;fear;disgust;sadness;anger;surprise;contempt;valence;engagement;affectivaAgeGroup;affectivaGender;Timestamp;TimeReacted
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;;0
0.00113153;0.00565086;0.438479;0.0445591;0.00382911;0.125595;0.222417;0;0.16371;55-64;male;;21
0.00113153;0.00565086;0.438479;0.0445591;0.00382911;0.125595;0.222417;0;0.16371;55-64;male;;41
0.00117167;0.0055124;0.434416;0.0429163;0.00362002;0.129245;0.219899;0;0.158606;55-64;male;;61
0.00117167;0.0055124;0.434416;0.0429163;0.00362002;0.129245;0.219899;0;0.158606;55-64;male;;81
0.00118923;0.00547145;0.434588;0.0422285;0.0035503;0.131064;0.218956;0;0.156512;55-64;male;;100
0.00118923;0.00547145;0.434588;0.0422285;0.0035503;0.131064;0.218956;0;0.156512;55-64;male;;121
0.00135616;0.00515773;0.433467;0.0361438;0.00297423;0.147858;0.21077;0;0.131532;55-64;male;;141
0.00135616;0.00515773;0.433467;0.0361438;0.00297423;0.147858;0.21077;0;0.131532;55-64;male;;161
0.00138524;0.00517121;0.432558;0.0347893;0.00287079;0.150776;0.209343;0;0.122508;55-64;male;;181
0.00138524;0.00517121;0.432558;0.0347893;0.00287079;0.150776;0.209343;0;0.122508;55-64;male;;201
0.0014618;0.00506885;0.432462;0.0324282;0.00267165;0.158441;0.206115;0;0.112417;55-64;male;;221
0.0014618;0.00506885;0.432462;0.0324282;0.00267165;0.158441;0.206115;0;0.112417;55-64;male;;241
0.00147325;0.00508409;0.43148;0.0319531;0.00264122;0.15969;0.205659;0;0.109113;55-64;male;;261
0.00147325;0.00508409;0.43148;0.0319531;0.00264122;0.15969;0.205659;0;0.109113;55-64;male;;281
0.00153654;0.00498624;0.430193;0.0304883;0.00249116;0.166036;0.203085;0;0.103103;55-64;male;;301
0.00153654;0.00498624;0.430193;0.0304883;0.00249116;0.166036;0.203085;0;0.103103;55-64;male;;321
0.00157336;0.00494438;0.428849;0.0298325;0.00239351;0.169796;0.201577;0;0.0994444;55-64;male;;341
0.00157336;0.00494438;0.428849;0.0298325;0.00239351;0.169796;0.201577;0;0.0994444;55-64;male;;361
0.00159725;0.0049082;0.428346;0.0293626;0.00233796;0.172276;0.20068;0;0.0966045;55-64;male;;380
0.00159725;0.0049082;0.428346;0.0293626;0.00233796;0.172276;0.20068;0;0.0966045;55-64;male;;409
0.00160452;0.00492909;0.428481;0.029268;0.00231721;0.173352;0.200391;0;0.0952784;55-64;male;;421
0.00160452;0.00492909;0.428481;0.029268;0.00231721;0.173352;0.200391;0;0.0952784;55-64;male;;441
