id;age;sex;education
;0;Muž;Stredná škola - výučný list
joy;fear;disgust;sadness;anger;surprise;contempt;valence;engagement;affectivaAgeGroup;affectivaGender;Timestamp;TimeReacted
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;;0
0;0;0;0;0;0;0;0;0;unknown;male;;20
0;0;0;0;0;0;0;0;0;unknown;male;;41
0;0;0;0;0;0;0;0;0;unknown;male;;60
0;0;0;0;0;0;0;0;0;unknown;male;;81
0;0;0;0;0;0;0;0;0;unknown;male;;100
0;0;0;0;0;0;0;0;0;unknown;male;;120
0;0;0;0;0;0;0;0;0;unknown;male;;141
0;0;0;0;0;0;0;0;0;unknown;male;;160
0;0;0;0;0;0;0;0;0;unknown;male;;180
0;0;0;0;0;0;0;0;0;unknown;male;;201
0;0;0;0;0;0;0;0;0;unknown;male;;220
0;0;0;0;0;0;0;0;0;unknown;male;;254
0;0;0;0;0;0;0;0;0;unknown;male;;260
0;0;0;0;0;0;0;0;0;unknown;male;;290
0;0;0;0;0;0;0;0;0;unknown;male;;300
0;0;0;0;0;0;0;0;0;unknown;male;;322
0;0;0;0;0;0;0;0;0;unknown;male;;340
0;0;0;0;0;0;0;0;0;unknown;male;;390
0;0;0;0;0;0;0;0;0;unknown;male;;390
0;0;0;0;0;0;0;0;0;unknown;male;;422
0;0;0;0;0;0;0;0;0;unknown;male;;422
0;0;0;0;0;0;0;0;0;unknown;male;;453
0;0;0;0;0;0;0;0;0;unknown;male;;461
0;0;0;0;0;0;0;0;0;unknown;male;;522
0;0;0;0;0;0;0;0;0;unknown;male;;522
0;0;0;0;0;0;0;0;0;unknown;male;;589
0.0060255;0.00345743;0.272372;0.0133049;0.00144317;0.210598;0.186772;0.877453;0.213371;under 18;male;;590
0.0060255;0.00345743;0.272372;0.0133049;0.00144317;0.210598;0.186772;0.877453;0.213371;under 18;male;;622
0.00587868;0.00349591;0.293412;0.0130816;0.00155675;0.219245;0.194276;0.690666;0.203592;under 18;male;;630
0.00587868;0.00349591;0.293412;0.0130816;0.00155675;0.219245;0.194276;0.690666;0.203592;under 18;male;;690
0.00647663;0.00360641;0.333782;0.0113149;0.00182917;0.250099;0.185552;0.947978;0.204149;under 18;male;;690
0.00647663;0.00360641;0.333782;0.0113149;0.00182917;0.250099;0.185552;0.947978;0.204149;under 18;male;;722
0.0082961;0.00357433;0.354456;0.00890639;0.00207008;0.293237;0.171836;1.8278;0.261189;under 18;male;;731
0.0082961;0.00357433;0.354456;0.00890639;0.00207008;0.293237;0.171836;1.8278;0.261189;under 18;male;;790
0.0148445;0.0031237;0.407003;0.00501266;0.00285482;0.426637;0.137848;3.79745;0.724347;under 18;male;;791
0.0148445;0.0031237;0.407003;0.00501266;0.00285482;0.426637;0.137848;3.79745;0.724347;under 18;male;;822
0.0457474;0.00214339;0.391613;0.00218742;0.00336494;0.647739;0.0824428;9.17468;2.24702;under 18;male;;832
0.0457474;0.00214339;0.391613;0.00218742;0.00336494;0.647739;0.0824428;9.17468;2.24702;under 18;male;;890
0.175566;0.00153252;0.463571;0.000873147;0.00482062;1.43139;0.0520093;13.2116;14.2392;under 18;male;;890
0.175566;0.00153252;0.463571;0.000873147;0.00482062;1.43139;0.0520093;13.2116;14.2392;under 18;male;;957
0.508557;0.00111933;0.37693;0.000666037;0.00346296;1.97913;0.0320185;17.5366;23.3011;under 18;male;;958
0.508557;0.00111933;0.37693;0.000666037;0.00346296;1.97913;0.0320185;17.5366;23.3011;under 18;male;;990
1.50456;0.000708428;0.287737;0.000326021;0.00306766;2.2621;0.0198287;24.5718;32.5444;under 18;male;;998
1.50456;0.000708428;0.287737;0.000326021;0.00306766;2.2621;0.0198287;24.5718;32.5444;under 18;male;;1059
4.60094;0.000417714;0.198114;0.000145614;0.00256434;2.28467;0.0117466;33.192;37.8278;under 18;male;;1059
4.60094;0.000417714;0.198114;0.000145614;0.00256434;2.28467;0.0117466;33.192;37.8278;under 18;male;;1090
26.6773;0.000181672;0.0944831;5.76853e-05;0.00127837;2.42212;0.00465617;46.9857;49.5511;under 18;male;;1100
26.6773;0.000181672;0.0944831;5.76853e-05;0.00127837;2.42212;0.00465617;46.9857;49.5511;under 18;male;;1158
83.5087;6.03058e-05;0.0342315;1.82223e-05;0.000475402;2.51334;0.00139524;66.0416;90.5331;under 18;male;;1158
83.5087;6.03058e-05;0.0342315;1.82223e-05;0.000475402;2.51334;0.00139524;66.0416;90.5331;under 18;male;;1190
89.0803;4.98918e-05;0.0286044;1.51256e-05;0.000392964;2.55324;0.00112366;69.4411;93.5119;under 18;male;;1190
89.0803;4.98918e-05;0.0286044;1.51256e-05;0.000392964;2.55324;0.00112366;69.4411;93.5119;under 18;male;;1257
96.5816;2.86647e-05;0.0175612;8.34831e-06;0.000251819;2.55072;0.000636207;79.4988;97.6981;under 18;male;;1258
96.5816;2.86647e-05;0.0175612;8.34831e-06;0.000251819;2.55072;0.000636207;79.4988;97.6981;under 18;male;;1290
99.4791;1.27235e-05;0.00824446;3.99071e-06;0.000112761;2.64888;0.000264591;96.5443;99.5573;under 18;male;;1298
99.4791;1.27235e-05;0.00824446;3.99071e-06;0.000112761;2.64888;0.000264591;96.5443;99.5573;under 18;male;;1323
99.7414;9.12672e-06;0.0062201;2.78279e-06;8.84543e-05;2.62037;0.000191484;98.3732;99.7602;under 18;male;;1339
99.7414;9.12672e-06;0.0062201;2.78279e-06;8.84543e-05;2.62037;0.000191484;98.3732;99.7602;under 18;male;;1389
99.82;7.72098e-06;0.00534869;2.44943e-06;7.48244e-05;2.64639;0.000161744;98.3091;99.826;under 18;male;;1390
99.82;7.72098e-06;0.00534869;2.44943e-06;7.48244e-05;2.64639;0.000161744;98.3091;99.826;under 18;male;;1457
99.8541;6.85208e-06;0.00498285;2.18426e-06;6.95831e-05;2.64534;0.000146642;98.4666;99.8555;under 18;male;;1457
99.8541;6.85208e-06;0.00498285;2.18426e-06;6.95831e-05;2.64534;0.000146642;98.4666;99.8555;under 18;male;;1521
99.8672;7.16527e-06;0.00469829;2.30744e-06;6.18529e-05;2.53996;0.000139438;98.1314;99.8688;under 18;male;;1521
99.8672;7.16527e-06;0.00469829;2.30744e-06;6.18529e-05;2.53996;0.000139438;98.1314;99.8688;under 18;male;;1589
99.878;7.45228e-06;0.00452727;2.74302e-06;5.21362e-05;2.6413;0.000133811;97.167;99.8787;under 18;male;;1590
99.878;7.45228e-06;0.00452727;2.74302e-06;5.21362e-05;2.6413;0.000133811;97.167;99.8787;under 18;male;;1622
99.8815;7.50725e-06;0.00442696;2.93515e-06;4.84234e-05;2.65649;0.000131488;96.8116;99.8826;under 18;male;;1630
99.8815;7.50725e-06;0.00442696;2.93515e-06;4.84234e-05;2.65649;0.000131488;96.8116;99.8826;under 18;male;;1689
99.8926;7.42644e-06;0.00417195;3.26088e-06;4.15523e-05;2.68872;0.000124715;96.2306;99.8939;under 18;male;;1689
99.8926;7.42644e-06;0.00417195;3.26088e-06;4.15523e-05;2.68872;0.000124715;96.2306;99.8939;under 18;male;;1757
99.8918;7.45993e-06;0.00397052;3.48e-06;3.81794e-05;2.55562;0.000123073;96.1737;99.8965;under 18;male;;1757
99.8918;7.45993e-06;0.00397052;3.48e-06;3.81794e-05;2.55562;0.000123073;96.1737;99.8965;under 18;male;;1790
