id;age;sex;education
;0;Muž;Stredná škola - výučný list
joy;fear;disgust;sadness;anger;surprise;contempt;valence;engagement;affectivaAgeGroup;affectivaGender;Timestamp;TimeReacted
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;;0
0.000602733;0.0065137;0.866761;0.147875;0.00882813;0.0700718;0.264696;-9.92335;78.7322;35-44;male;;19
0.000602733;0.0065137;0.866761;0.147875;0.00882813;0.0700718;0.264696;-9.92335;78.7322;35-44;male;;40
0;0;0;0;0;0;0;0;0;unknown;male;;60
0;0;0;0;0;0;0;0;0;unknown;male;;80
0;0;0;0;0;0;0;0;0;unknown;male;;100
0;0;0;0;0;0;0;0;0;unknown;male;;120
0;0;0;0;0;0;0;0;0;unknown;male;;141
0;0;0;0;0;0;0;0;0;unknown;male;;159
0;0;0;0;0;0;0;0;0;unknown;male;;180
0;0;0;0;0;0;0;0;0;unknown;male;;200
0;0;0;0;0;0;0;0;0;unknown;male;;220
0;0;0;0;0;0;0;0;0;unknown;male;;256
0;0;0;0;0;0;0;0;0;unknown;male;;260
0;0;0;0;0;0;0;0;0;unknown;male;;288
0;0;0;0;0;0;0;0;0;unknown;male;;300
0;0;0;0;0;0;0;0;0;unknown;male;;356
0;0;0;0;0;0;0;0;0;unknown;male;;356
0;0;0;0;0;0;0;0;0;unknown;male;;389
0;0;0;0;0;0;0;0;0;unknown;male;;389
0;0;0;0;0;0;0;0;0;unknown;male;;421
0;0;0;0;0;0;0;0;0;unknown;male;;421
0;0;0;0;0;0;0;0;0;unknown;male;;488
0;0;0;0;0;0;0;0;0;unknown;male;;488
0;0;0;0;0;0;0;0;0;unknown;male;;556
0;0;0;0;0;0;0;0;0;unknown;male;;556
0;0;0;0;0;0;0;0;0;unknown;male;;589
0;0;0;0;0;0;0;0;0;unknown;male;;597
0;0;0;0;0;0;0;0;0;unknown;male;;656
0.000238046;0.00628418;1.48511;6.33757;0.0121068;0.0484603;0.345714;-67.4245;90.3679;35-44;male;;656
0.000238046;0.00628418;1.48511;6.33757;0.0121068;0.0484603;0.345714;-67.4245;90.3679;35-44;male;;688
0.000220448;0.0066301;3.02294;9.36981;0.0116453;0.0489102;0.353205;-77.0956;91.0208;35-44;male;;697
0.000220448;0.0066301;3.02294;9.36981;0.0116453;0.0489102;0.353205;-77.0956;91.0208;35-44;male;;756
0.000200292;0.00655613;4.18469;10.4676;0.0134825;0.044062;0.362916;-81.8109;91.806;35-44;male;;756
0.000200292;0.00655613;4.18469;10.4676;0.0134825;0.044062;0.362916;-81.8109;91.806;35-44;male;;789
0.00014937;0.00700347;5.50538;13.0593;0.021065;0.0322148;0.394574;-86.7979;93.8854;35-44;male;;797
0.00014937;0.00700347;5.50538;13.0593;0.021065;0.0322148;0.394574;-86.7979;93.8854;35-44;male;;856
